No,Student ID,Firstname,Lastname,Gender,DoB
1,19125000,Linh,Hoang Chi ,Female,6/8/1998
2,19125001,Tin,Nguyen Khanh ,Female,20/12/1997
3,19125002,Thanh,Nguyen Tan ,Female,22/10/1997
4,19125003,Xen,Cao Thi ,Male,27/08/1997
5,19125004,Anh,Vu Nguyen Kim ,Male,7/7/1996
6,19125005,Liem,Le Nho ,Male,29/12/1996
7,19125006,Thoa,Vo Thi ,Female,2/7/1996
8,19125007,Thuan,Phan Van ,Female,28/02/1998
9,19125008,An,Phan Pham Tri ,Male,9/2/1998
10,19125009,Chung,Chiu Van ,Male,10/2/1996
11,19125010,Tan,Nguyen Duy ,Male,22/11/1997
12,19125011,Kha,Vo Hoang ,Female,9/1/1998
13,19125012,Phi,Pham Thi Yen ,Male,1/1/1997
14,19125013,Thanh,Vu Van ,Female,26/08/1998
15,19125014,Toan,Ngo Van Sinh ,Male,21/10/1997
16,19125015,Tai,Chau Le ,Female,16/02/1996
17,19125016,Hieu,Mai Xuan ,Male,6/10/1997
18,19125017,Truc,Tran Thanh ,Female,28/08/1998
19,19125018,Vy,Vo Thuy ,Female,14/07/1997
20,19125019,Anh,Do Ngoc Lan ,Male,8/1/1998
21,19125020,Phong,Duong Van ,Male,22/02/1998
22,19125021,Phuong,Nguyen Thu ,Female,7/9/1996
23,19125022,Trung,Vo Thanh ,Male,28/11/1996
24,19125023,Anh,Nguyen My ,Male,18/02/1996
25,19125024,Anh,Nguyen Thi Tram ,Female,11/2/1996
26,19125025,Diep,Tran Thi Ngoc ,Female,23/01/1998
27,19125026,Linh,Pham My ,Male,3/10/1996
28,19125027,My,Nguyen Thi Nhu ,Male,11/3/1998
29,19125028,Nhien,Nguyen Thi Hong ,Female,22/08/1996
30,19125029,Phi,Pham Phuong ,Male,18/06/1997
31,19125030,Thao,Tran Thi Thu ,Female,30/08/1998
32,19125031,Thuy,Nguyen Thi Bich ,Female,7/2/1998
33,19125032,Tien,Huynh Thi Thuy ,Male,10/4/1996
34,19125033,Xuan,Truong Thi ,Male,24/08/1997
35,19125034,Dat,Nguyen Ngoc ,Male,4/6/1996
36,19125035,Nhan,Le Thi ,Male,21/08/1996
37,19125036,Tien,Dinh Hoai My ,Female,27/01/1998
38,19125037,Vinh,Ngo Hoang ,Male,25/10/1997
39,19125038,Vinh,Nguyen Tu Than ,Male,7/7/1998
40,19125039,Trinh,Huynh Thi My ,Male,15/02/1998
41,19125040,Nhu,Nguyen Thi Quynh ,Female,13/02/1996
42,19125041,Yen,Dinh Thi Hai ,Male,24/04/1997
43,19125042,Rieu,Kieu Thi Hong ,Male,21/06/1998
44,19125043,Thuyen,Vi Thi ,Male,14/07/1996
45,19125044,Bao,Do Trieu ,Male,31/03/1996
46,19125045,Binh,Do Long ,Male,30/07/1998
47,19125046,Duc,Nguyen Tat ,Male,11/3/1996
48,19125047,Thao,Bui Thi Huong ,Male,16/05/1996
49,19125048,Tinh,Nguyen Trung ,Female,10/10/1996
50,19125049,Trang,Nguyen Thi ,Female,16/12/1997
